term,pos_type,count,freq_pct,n_images,example_images
hard,adj,58,11.7,47,InfoVisC.65.4.png; InfoVisC.65.5(2).png; InfoVisC.65.6(2).png
different,adj,54,10.9,48,InfoVisC.115.3.png; InfoVisC.65.6(2).png; InfoVisJ.1009.9.png
easy,adj,51,10.3,42,InfoVisC.103.4.png; InfoVisJ.1063.13.png; InfoVisJ.1137.1.png
difficult,adj,42,8.5,36,InfoVisC.103.9.png; InfoVisC.24.3(2).png; InfoVisC.65.5(2).png
clear,adj,39,7.8,35,InfoVisC.157.1.png; InfoVisC.65.5(2).png; InfoVisC.65.8.png
small,adj,29,5.8,24,InfoVisC.157.1.png; InfoVisC.65.4.png; InfoVisJ.1149.6(1).png
multiple,adj,21,4.2,17,InfoVisJ.485.9.png; SciVisC.49.5.png; SciVisJ.700.11.png
simple,adj,18,3.6,15,InfoVisC.211.18.png; InfoVisC.65.8.png; InfoVisJ.1022.6.png
easily,adj,16,3.2,15,InfoVisJ.2546.10.png; InfoVisJ.2556.10.png; InfoVisJ.2556.8.png
familiar,adj,15,3.0,13,InfoVisC.211.8.png; InfoVisJ.1229.6.png; InfoVisJ.2402.12(1).png
complex,adj,14,2.8,14,InfoVisC.65.8.png; InfoVisJ.449.8.png; InfoVisJ.599.4.png
confusing,adj,13,2.6,12,InfoVisJ.1009.9.png; InfoVisJ.2556.10.png; InfoVisJ.349.1.png
black,adj,11,2.2,10,InfoVisJ.1063.13.png; InfoVisJ.349.1(2).png; SciVisJ.728.4(2).png
visually,adj,11,2.2,11,InfoVisJ.1149.6(1).png; InfoVisJ.1229.6.png; InfoVisJ.339.10.png
long,adj,10,2.0,10,InfoVisJ.2639.8.png; InfoVisJ.339.3.png; VASTC.41.5.png
white,adj,9,1.8,9,InfoVisJ.2699.12.png; InfoVisJ.349.1(2).png; SciVisJ.635.6.png
sure,adj,8,1.6,6,InfoVisC.57.4.png; InfoVisC.73.6.png; InfoVisJ.349.8.png
visual,adj,8,1.6,7,InfoVisJ.2181.9.png; InfoVisJ.2556.10.png; SciVisJ.728.14.png
recognizable,adj,7,1.4,7,InfoVisJ.2556.9.png; InfoVisJ.2576.2.png; SciVisJ.259.14.png
complicated,adj,7,1.4,7,InfoVisC.65.3.png; InfoVisJ.1558.5.png; InfoVisJ.485.9.png
random,adj,7,1.4,5,InfoVisJ.349.1.png; SciVisJ.995.10(3).png; VisC.559.6.png
detailed,adj,7,1.4,6,SciVisJ.801.15.png; VASTJ.1.10.png; economist_daily_chart_124.png
similar,adj,7,1.4,7,SciVisJ.1236.10.png; SciVisJ.728.14.png; VASTC.3.3.png
high,adj,7,1.4,7,InfoVisC.8.7.png; InfoVisJ.1149.6(1).png; InfoVisJ.2102.16.png
straight,adj,6,1.2,6,InfoVisJ.2699.12.png; VASTJ.432.7.png; economist_daily_chart_393.png
understandable,adj,6,1.2,6,InfoVisJ.339.3.png; SciVisJ.744.13.png; VASTJ.432.6.png
intuitive,adj,6,1.2,6,InfoVisJ.978.3.png; SciVisJ.728.14.png; VASTJ.51.7.png
cognitive,adj,6,1.2,2,VASTJ.51.7.png; vis673.png
clearly,adj,6,1.2,6,InfoVisJ.2412.16(2).png; InfoVisJ.2576.2.png; VASTC.24.5.png
little,adj,6,1.2,6,InfoVisC.173.9.png; VASTJ.1720.12.png; economist_daily_chart_152.png
unfamiliar,adj,6,1.2,6,SciVisJ.561.7.png; SciVisJ.867.6.png; VASTC.123.3.png
unclear,adj,6,1.2,5,InfoVisJ.2102.16.png; InfoVisJ.522.15.png; InfoVisJ.631.1(2).png
unique,adj,5,1.0,5,InfoVisJ.1084.2.png; SciVisJ.1005.12.png; economist_daily_chart_372.png
busy,adj,5,1.0,5,SciVisJ.857.9.png; VASTJ.2012.9(2).png; v488_n7410_15_f3.png
straightforward,adj,4,0.8,4,VisC.389.1(3).png; treasuryG07_2.png; v483_n7391_8_f5.png
colored,adj,4,0.8,4,InfoVisJ.1247.10.png; VASTC.1.7.png; v483_n7391_8_f5.png
key,adj,4,0.8,2,VASTJ.51.7.png; vis673.png
dark,adj,4,0.8,4,SciVisJ.1005.1.png; SciVisJ.1819.4(5).png; SciVisJ.728.4(2).png
red,adj,4,0.8,4,InfoVisJ.2699.12.png; economist_daily_chart_110.png; economist_daily_chart_393.png
separate,adj,4,0.8,4,InfoVisJ.2181.9.png; InfoVisJ.485.9.png; VisC.87.8.png
individual,adj,4,0.8,4,SciVisJ.1043.12(4).png; VASTC.1.7.png; np_21.png
graphic,adj,4,0.8,4,InfoVisJ.1247.10.png; SciVisJ.797.13(4).png; VASTJ.320.11.png
large,adj,4,0.8,4,InfoVisJ.1149.6(1).png; VASTJ.422.7.png; visMost573.png
quickly,adj,4,0.8,4,InfoVisJ.2546.10.png; SciVisJ.867.7.png; VASTJ.2012.9(2).png
exact,adj,4,0.8,3,VisC.599.6.png; VisJ.1243.3.png; VisJ.1515.12.png
big,adj,4,0.8,4,InfoVisJ.339.3.png; MorphableWordClouds5.png; VASTJ.422.7.png
abstract,adj,4,0.8,4,VASTC.121.5.png; VisJ.1949.11(2).png; v487_n7406_13_f2.png
fine,adj,4,0.8,4,InfoVisJ.2082.3.png; VASTC.1.7.png; VisC.248.3.png
discernible,adj,3,0.6,3,InfoVisJ.651.7.png; SciVisJ.801.15.png; VASTJ.1139.3(2).png
green,adj,3,0.6,3,SciVisJ.1236.10.png; VisC.73.8(2).png; economist_daily_chart_393.png
distinct,adj,3,0.6,3,InfoVisJ.349.1.png; SciVisJ.980.12(2).png; economist_daily_chart_165.png
fast,adj,3,0.6,3,InfoVisJ.1569.6.png; InfoVisJ.647.13(2).png; SciVisJ.645.3.png
font,adj,3,0.6,2,vis3.png; vis652.png
bad,adj,3,0.6,3,VisC.263.7.png; vis652.png; whoQ42_6.png
arbitrary,adj,3,0.6,3,InfoVisJ.2556.10.png; VASTC.1.7.png; VisC.61.10.png
linear,adj,3,0.6,3,InfoVisC.115.3.png; MorphableWordClouds7.png; VisC.375.2.png
cluttered,adj,3,0.6,3,economist_daily_chart_124.png; v490_n7419_13_f3.png; wsj294.png
visible,adj,3,0.6,3,InfoVisJ.2412.16(2).png; SciVisJ.1005.1.png; SciVisJ.801.15.png
weird,adj,3,0.6,3,SciVisJ.857.9.png; VisC.295.3.png; VisJ.1515.12.png
clean,adj,3,0.6,3,InfoVisJ.2072.7.png; VisJ.1499.2.png; vis278.png
overall,adj,3,0.6,3,VASTC.24.5.png; VisC.248.3.png; VisJ.1949.18.png
overlapping,adj,3,0.6,3,InfoVisJ.485.9.png; visMost573.png; wsj294.png
ambiguous,adj,3,0.6,2,v488_n7413_12_f2.png; visMost573.png
tiny,adj,3,0.6,2,InfoVisJ.1149.8(2).png; visMost325.png
extra,adj,3,0.6,3,InfoVisJ.1558.9(2).png; InfoVisJ.2181.9.png; VASTJ.2012.4.png
intricate,adj,3,0.6,3,VASTC.1.7.png; VisC.11.12(2).png; v485_n7396_14_f4.png
varied,adj,3,0.6,3,InfoVisJ.2402.12.png; VASTC.13.9.png; vis678.png
limited,adj,2,0.4,2,VASTC.81.3(2).png; whoI19.png
initial,adj,2,0.4,2,VASTJ.51.7.png; vis673.png
actually,adj,2,0.4,2,VASTJ.51.7.png; vis673.png
common,adj,2,0.4,2,vis567.png; visMost97.png
bright,adj,2,0.4,2,InfoVisC.211.8.png; vis630.png
pretty,adj,2,0.4,2,VASTC.19.8.png; wsj371.png
explanatory,adj,2,0.4,2,InfoVisC.211.8.png; wsj371.png
blue,adj,2,0.4,2,SciVisJ.700.11.png; whoB32_1.png
seismic,adj,2,0.4,2,v482_n7386_10_f2.png; v483_n7391_8_f5.png
wise,adj,2,0.4,1,vis652.png
few,adj,2,0.4,2,VASTJ.1332.5.png; whoI19.png
blank,adj,2,0.4,2,InfoVisJ.935.9.png; SciVisJ.728.14.png
uniform,adj,2,0.4,2,VASTJ.170.6.png; VASTJ.1763.8(2).png
readable,adj,2,0.4,2,InfoVisJ.2556.10.png; wsj108.png
messy,adj,2,0.4,2,InfoVisJ.2556.10.png; VASTJ.160.2.png
concise,adj,2,0.4,2,SciVisJ.728.14.png; wsj533.png
close,adj,2,0.4,2,SciVisJ.796.18.png; SciVisJ.867.6.png
apparent,adj,2,0.4,2,InfoVisJ.349.1(3).png; VisC.559.6.png
soft,adj,2,0.4,2,economist_daily_chart_153.png; economist_daily_chart_267.png
colorful,adj,2,0.4,2,v490_n7418_1_f2.png; visMost76.png
immediately,adj,2,0.4,2,InfoVisJ.2556.9.png; economist_daily_chart_406.png
blurry,adj,2,0.4,2,VASTC.107.8.png; VASTC.19.8.png
excessively,adj,2,0.4,2,InfoVisJ.485.9.png; wsj294.png
crowded,adj,2,0.4,2,InfoVisJ.485.9.png; wsj294.png
appealing,adj,2,0.4,2,v488_n7409_19_f1.png; wsj294.png
densely,adj,2,0.4,2,InfoVisJ.631.1(2).png; VASTJ.1160.6.png
physical,adj,2,0.4,2,economist_daily_chart_110.png; visMost777.png
dense,adj,2,0.4,2,VisC.375.2.png; vis678.png
far,adj,2,0.4,2,SciVisJ.797.11(3).png; VisJ.1541.1(2).png
pleasing,adj,2,0.4,2,InfoVisJ.1063.13.png; VisC.248.3.png
axis,adj,2,0.4,2,SciVisJ.765.11.png; VASTJ.111.8.png
instantly,adj,2,0.4,2,VASTJ.1448.5(2).png; visMost573.png
vertical,adj,2,0.4,2,VASTC.1.7.png; VASTJ.1612.1(4).png
impossible,adj,2,0.4,2,InfoVisJ.1149.8(2).png; VASTC.1.7.png
able,adj,2,0.4,2,InfoVisC.157.1.png; SciVisJ.2664.2.png
ineligible,adj,2,0.4,1,v488_n7409_19_f1.png
undefined,adj,2,0.4,1,VisJ.1329.5(3).png
vast,adj,2,0.4,2,InfoVisJ.1149.8(2).png; VisC.11.12(2).png
color,noun,247,49.7,175,CiteRivers5(1).png; InfoVisC.115.3.png; InfoVisC.115.4.png
information,noun,95,19.1,74,InfoVisC.157.1.png; InfoVisC.73.6.png; InfoVisJ.1054.3.png
line,noun,76,15.3,60,InfoVisC.65.3.png; InfoVisC.65.5(2).png; InfoVisC.73.6.png
shape,noun,68,13.7,61,InfoVisC.133.5(3).png; InfoVisC.219.8.png; InfoVisJ.1558.9(2).png
number,noun,58,11.7,44,InfoVisC.115.4.png; InfoVisC.133.5(3).png; InfoVisC.219.8.png
text,noun,55,11.1,41,InfoVisC.211.8.png; InfoVisC.24.3(2).png; InfoVisC.73.6.png
word,noun,54,10.9,41,InfoVisC.24.8(1).png; InfoVisC.73.6.png; InfoVisJ.1137.1.png
datum,noun,53,10.7,47,InfoVisC.24.8.png; InfoVisC.65.6(2).png; InfoVisC.8.7.png
point,noun,47,9.5,43,InfoVisC.65.5(2).png; InfoVisJ.1032.5.png; InfoVisJ.2556.10.png
detail,noun,46,9.3,42,InfoVisC.133.5(3).png; InfoVisC.219.8.png; InfoVisJ.1149.8(2).png
axis,noun,29,5.8,25,InfoVisC.115.3.png; InfoVisJ.1032.5.png; InfoVisJ.1247.14.png
size,noun,29,5.8,25,InfoVisC.133.5(3).png; InfoVisC.219.8.png; InfoVisJ.1169.1.png
element,noun,26,5.2,24,InfoVisJ.1247.10.png; InfoVisJ.2082.3.png; InfoVisJ.401.12.png
time,noun,24,4.8,19,InfoVisJ.339.10.png; InfoVisJ.659.6.png; InfoVisJ.946.6.png
label,noun,23,4.6,19,InfoVisJ.1149.6(1).png; InfoVisJ.2082.3.png; InfoVisJ.2556.9.png
dot,noun,21,4.2,17,InfoVisC.65.4(2).png; InfoVisC.65.8.png; InfoVisJ.1161.5.png
legend,noun,20,4.0,16,InfoVisC.211.8.png; InfoVisJ.1063.13(3).png; InfoVisJ.369.3.png
pattern,noun,18,3.6,17,InfoVisC.115.3.png; InfoVisJ.1558.5.png; InfoVisJ.2251.1(2).png
map,noun,18,3.6,11,InfoVisC.211.8.png; InfoVisJ.2556.8.png; InfoVisJ.599.4.png
circle,noun,17,3.4,10,InfoVisC.57.4.png; InfoVisC.8.7.png; SciVisJ.867.6.png
contrast,noun,16,3.2,15,InfoVisC.133.5(3).png; InfoVisC.219.8.png; InfoVisJ.2102.16.png
sense,noun,14,2.8,12,InfoVisC.65.3.png; InfoVisJ.1032.5.png; SciVisJ.1236.10.png
item,noun,14,2.8,14,InfoVisJ.1149.8(2).png; InfoVisJ.2181.9.png; InfoVisJ.2412.17(2).png
title,noun,13,2.6,13,InfoVisJ.2556.9.png; InfoVisJ.339.3.png; InfoVisJ.485.9.png
data,noun,12,2.4,11,InfoVisJ.349.8(4).png; InfoVisJ.485.9.png; VASTJ.2908.2.png
key,noun,12,2.4,11,InfoVisJ.1009.9.png; InfoVisJ.1247.14.png; InfoVisJ.924.5.png
difference,noun,12,2.4,11,InfoVisJ.1190.8.png; InfoVisJ.2402.12.png; InfoVisJ.522.15.png
writing,noun,12,2.4,10,InfoVisJ.1149.6(1).png; InfoVisJ.2082.3.png; InfoVisJ.2556.8.png
bar,noun,11,2.2,10,InfoVisC.211.18.png; InfoVisJ.2102.16.png; VASTC.24.5.png
value,noun,10,2.0,9,InfoVisC.24.8(1).png; InfoVisJ.1236.13.png; InfoVisJ.631.1(2).png
design,noun,10,2.0,8,InfoVisJ.2556.10.png; SciVisJ.561.7.png; SciVisJ.635.6.png
box,noun,10,2.0,8,InfoVisJ.2072.16.png; InfoVisJ.339.10.png; SciVisJ.1236.10.png
meaning,noun,9,1.8,6,SciVisJ.1236.10.png; SciVisJ.2664.2.png; VASTC.51.6.png
glance,noun,9,1.8,9,InfoVisC.173.9(1).png; InfoVisJ.2412.16(2).png; InfoVisJ.2556.7(2).png
eye,noun,9,1.8,9,InfoVisC.103.4.png; InfoVisJ.1933.13.png; SciVisJ.744.13.png
context,noun,9,1.8,9,InfoVisC.65.3.png; InfoVisJ.1558.11(3).png; VisJ.1197.5(3).png
variable,noun,9,1.8,9,InfoVisJ.1032.5.png; InfoVisJ.2082.3.png; InfoVisJ.349.10.png
country,noun,9,1.8,6,VASTC.107.7.png; economist_daily_chart_124.png; economist_daily_chart_317.png
graphic,noun,9,1.8,9,InfoVisC.24.8(1).png; InfoVisJ.485.9.png; SciVisJ.980.13.png
variety,noun,9,1.8,9,InfoVisC.173.9.png; InfoVisC.211.8.png; InfoVisJ.449.8.png
idea,noun,8,1.6,8,InfoVisC.65.8.png; InfoVisJ.1634.1.png; SciVisJ.1236.10.png
scale,noun,8,1.6,8,InfoVisJ.1236.13.png; InfoVisJ.2402.12.png; InfoVisJ.681.1.png
font,noun,8,1.6,8,InfoVisC.157.1.png; InfoVisC.73.6.png; InfoVisJ.1190.8.png
square,noun,8,1.6,5,SciVisJ.1236.10.png; SciVisJ.807.5(2).png; SciVisJ.807.5.png
object,noun,7,1.4,5,InfoVisJ.1204.7.png; VASTC.1.7.png; VASTJ.1448.5.png
shade,noun,7,1.4,7,InfoVisJ.1009.9.png; InfoVisJ.2251.1(3).png; SciVisJ.635.6.png
letter,noun,7,1.4,6,InfoVisJ.2546.1.png; VASTC.24.5.png; VASTC.91.5(1).png
lack,noun,7,1.4,6,InfoVisC.157.1.png; InfoVisJ.349.1.png; SciVisJ.1043.12(5).png
description,noun,6,1.2,6,InfoVisJ.1634.1.png; InfoVisJ.339.3.png; InfoVisJ.924.5.png
load,noun,6,1.2,2,VASTJ.51.7.png; vis673.png
readability,noun,6,1.2,6,InfoVisJ.1054.3.png; InfoVisJ.1569.6.png; InfoVisJ.2402.12.png
bit,noun,6,1.2,5,InfoVisC.65.3.png; InfoVisC.65.6(2).png; InfoVisJ.1137.1.png
scheme,noun,6,1.2,6,MorphableWordClouds7.png; SciVisJ.1043.12(4).png; VASTC.91.5(1).png
variation,noun,6,1.2,6,SciVisJ.1819.4.png; VASTC.1.7.png; VASTJ.220.1(2).png
info,noun,6,1.2,6,InfoVisC.65.5(2).png; InfoVisJ.2709.1.png; SciVisJ.744.13.png
layout,noun,6,1.2,6,InfoVisC.27.6.png; InfoVisJ.1032.5.png; InfoVisJ.1149.8(2).png
space,noun,6,1.2,6,InfoVisJ.2556.10.png; InfoVisJ.2699.12.png; SciVisJ.728.14.png
interpretation,noun,6,1.2,5,SciVisJ.728.14.png; VisC.11.12(2).png; economist_daily_chart_349.png
area,noun,6,1.2,5,InfoVisC.115.4.png; VASTC.107.7.png; VisC.383.7.png
connection,noun,5,1.0,5,InfoVisJ.339.3.png; VASTC.1.7.png; VASTJ.1448.5(2).png
noise,noun,5,1.0,3,VASTJ.51.7.png; VisJ.1541.1(2).png; vis673.png
choice,noun,5,1.0,5,VisC.263.7.png; vis652.png; wsj108.png
explanation,noun,5,1.0,5,InfoVisJ.349.1.png; SciVisJ.728.14.png; VASTJ.320.11.png
complexity,noun,5,1.0,5,InfoVisJ.599.10(2).png; SciVisJ.1819.4.png; SciVisJ.975.7.png
symbol,noun,4,0.8,4,InfoVisJ.2576.2.png; SciVisJ.980.9.png; VisC.147.8(2).png
grid,noun,4,0.8,4,InfoVisJ.1032.5.png; VASTJ.111.8.png; VASTJ.1139.3(2).png
world,noun,4,0.8,3,economist_daily_chart_317.png; np_21.png; whoQ26.png
logic,noun,4,0.8,4,InfoVisC.24.8(1).png; VASTJ.1763.9.png; VASTJ.51.7.png
arrow,noun,4,0.8,3,InfoVisC.65.4.png; InfoVisJ.2181.9.png; VisC.559.6.png
volume,noun,4,0.8,4,InfoVisC.73.6.png; SciVisC.49.5.png; VASTJ.31.12(3).png
name,noun,4,0.8,4,InfoVisJ.953.10.png; VASTJ.200.8.png; economist_daily_chart_393.png
structure,noun,4,0.8,4,InfoVisJ.651.7.png; VASTC.91.5(1).png; VASTJ.1407.9.png
position,noun,4,0.8,3,InfoVisJ.1032.5.png; VASTC.91.5(1).png; VASTJ.51.8.png
colour,noun,4,0.8,4,InfoVisJ.599.10(2).png; MorphableWordClouds7.png; SciVisJ.2664.2.png
understanding,noun,4,0.8,4,SciVisJ.728.14.png; SciVisJ.797.13(3).png; VisC.248.3.png
density,noun,4,0.8,4,InfoVisJ.1149.6(1).png; InfoVisJ.2556.10(2).png; InfoVisJ.369.3.png
distribution,noun,4,0.8,4,InfoVisJ.2402.12(1).png; InfoVisJ.2402.12.png; InfoVisJ.339.10.png
table,noun,4,0.8,4,InfoVisJ.1022.6.png; v487_n7407_7_f2.png; visMost325.png
feature,noun,4,0.8,2,VisJ.1515.12.png; visMost573.png
code,noun,4,0.8,4,InfoVisC.24.3(2).png; InfoVisJ.485.9.png; SciVisJ.1236.10.png
range,noun,3,0.6,3,VASTC.81.3(2).png; economist_daily_chart_110.png; economist_daily_chart_124.png
process,noun,3,0.6,3,InfoVisJ.339.3.png; VASTC.1.7.png; VASTJ.1139.3(2).png
set,noun,3,0.6,3,InfoVisJ.2251.1(3).png; VisC.375.2.png; wsj135.png
measurement,noun,3,0.6,3,SciVisJ.1025.11.png; SciVisJ.796.5(1).png; VisJ.1949.11.png
interest,noun,3,0.6,3,SciVisJ.797.13(4).png; np_11.png; whoQ26.png
region,noun,3,0.6,3,economist_daily_chart_124.png; whoQ26.png; wsj226.png
ease,noun,3,0.6,3,MorphableWordClouds12.png; VASTJ.870.4.png; treasuryL11_2.png
entity,noun,3,0.6,2,InfoVisJ.1054.3.png; economist_daily_chart_372.png
spread,noun,3,0.6,3,InfoVisC.73.6.png; VASTJ.31.12(3).png; wsj200.png
content,noun,3,0.6,3,InfoVisJ.647.13(2).png; economist_daily_chart_110.png; economist_daily_chart_165.png
clarity,noun,3,0.6,3,SciVisJ.728.14.png; VASTC.19.8.png; vis652.png
collection,noun,3,0.6,3,InfoVisJ.1161.5.png; SciVisJ.625.5.png; vis639.png
arrangement,noun,3,0.6,2,SciVisJ.728.14.png; SciVisJ.995.10(3).png
frequency,noun,3,0.6,2,InfoVisJ.2412.16(2).png; MorphableWordClouds5.png
path,noun,3,0.6,2,InfoVisJ.339.3.png; VisC.11.12(2).png
aspect,noun,3,0.6,3,VASTJ.51.8.png; v485_n7396_14_f4.png; visMost460.png
order,noun,3,0.6,3,MorphableWordClouds12.png; VASTJ.1683.4(3).png; VASTJ.200.8.png
dimension,noun,3,0.6,3,InfoVisJ.1161.6.png; SciVisJ.744.13.png; visMost777.png
term,noun,3,0.6,3,VisJ.1515.12.png; VisJ.1595.6(2).png; v488_n7409_19_f1.png
gradient,noun,3,0.6,3,InfoVisJ.651.7.png; VASTC.19.8.png; VisC.73.8(2).png
intersection,noun,3,0.6,3,InfoVisC.8.7.png; InfoVisJ.349.1.png; VisC.255.4.png
quantity,noun,3,0.6,3,SciVisJ.259.7.png; VisC.255.4.png; VisJ.1197.5(3).png
purpose,noun,3,0.6,3,InfoVisJ.2556.9.png; InfoVisJ.459.8.png; economist_daily_chart_406.png
annotation,noun,3,0.6,2,InfoVisJ.485.9.png; wsj294.png
multitude,noun,3,0.6,3,InfoVisJ.2402.12(1).png; VisC.11.12(2).png; v484_n7395_11_f2.png
network,noun,3,0.6,3,InfoVisJ.2486.8.png; InfoVisJ.401.12.png; VisC.11.12(2).png
stuff,noun,3,0.6,3,InfoVisJ.1073.1.png; InfoVisJ.449.8.png; v488_n7409_19_f1.png
parameter,noun,3,0.6,2,InfoVisJ.599.10(2).png; v488_n7409_19_f1.png
digest,noun,2,0.4,2,economist_daily_chart_393.png; whoJ40_2.png
self,noun,2,0.4,2,whoQ48_6.png; wsj371.png
matrix,noun,2,0.4,2,SciVisJ.744.13.png; SciVisJ.980.9.png
link,noun,2,0.4,2,InfoVisJ.339.3.png; InfoVisJ.621.2.png
curve,noun,2,0.4,2,VASTJ.1139.3(2).png; v483_n7391_8_f5.png
inscription,noun,2,0.4,1,SciVisJ.1025.11.png
nuance,noun,2,0.4,2,SciVisC.25.4.png; SciVisJ.1025.11.png
attractiveness,noun,2,0.4,2,VASTJ.51.7.png; vis673.png
presentation,noun,2,0.4,2,VASTJ.51.7.png; vis673.png
takeaway,noun,2,0.4,2,VASTJ.51.7.png; vis673.png
majority,noun,2,0.4,2,VASTJ.51.7.png; vis673.png
earth,noun,2,0.4,2,np_21.png; v486_n7401_7_f1.png
geography,noun,2,0.4,2,economist_daily_chart_110.png; v486_n7401_7_f1.png
screen,noun,2,0.4,2,InfoVisC.73.6.png; SciVisJ.891.13.png
variability,noun,2,0.4,2,SciVisJ.891.2.png; wsj371.png
sentence,noun,2,0.4,2,InfoVisJ.485.9.png; wsj371.png
reading,noun,2,0.4,2,SciVisJ.728.14.png; economist_daily_chart_165.png
earthquake,noun,2,0.4,2,InfoVisC.173.9.png; v482_n7386_10_f2.png
attention,noun,2,0.4,2,VASTJ.31.2.png; economist_daily_chart_317.png
shading,noun,2,0.4,2,VASTJ.1764.2.png; wsj536.png
metric,noun,2,0.4,2,VisC.171.4.png; v488_n7410_20_f4.png
entry,noun,2,0.4,2,InfoVisJ.349.8(4).png; VASTC.1.10.png
indication,noun,2,0.4,2,InfoVisJ.953.10.png; VisJ.1413.7.png
focus,noun,2,0.4,2,InfoVisJ.459.2.png; economist_daily_chart_5.png
regularity,noun,2,0.4,1,InfoVisJ.2556.10.png
continent,noun,2,0.4,2,economist_daily_chart_124.png; visMost325.png
organization,noun,2,0.4,2,VASTJ.2012.9(2).png; economist_daily_chart_124.png
pie,noun,2,0.4,2,treasuryL03_2.png; whoK16_3.png
group,noun,2,0.4,2,VisC.167.11.png; np_11.png
flow,noun,2,0.4,2,InfoVisJ.349.1(3).png; VisC.559.6.png
plot,noun,2,0.4,2,InfoVisJ.485.9.png; VisJ.1243.3.png
analysis,noun,2,0.4,2,SciVisJ.625.5.png; economist_daily_chart_4.png
pixel,noun,2,0.4,2,SciVisJ.625.5.png; VisC.433.1.png
painting,noun,2,0.4,2,VASTC.121.5.png; visMost573.png
illusion,noun,2,0.4,2,InfoVisJ.651.7.png; VASTC.123.1.png
depth,noun,2,0.4,2,InfoVisJ.651.7.png; VASTJ.1698.5(4).png
processing,noun,2,0.4,2,InfoVisJ.1569.6.png; VisJ.1515.12.png
fact,noun,2,0.4,2,VisJ.1515.12.png; v483_n7387_5_f1.png
measure,noun,2,0.4,1,VisJ.1515.12.png
movement,noun,2,0.4,2,InfoVisJ.349.1.png; v490_n7420_13_f4.png
icon,noun,2,0.4,2,visMost573.png; visMost92.png
level,noun,2,0.4,2,vis216.png; visMost92.png
style,noun,2,0.4,2,VASTC.107.10.png; economist_daily_chart_493.png
change,noun,2,0.4,2,InfoVisJ.1009.9.png; VisC.233.3(2).png
component,noun,2,0.4,2,v488_n7409_19_f1.png; vis393.png
num,noun,2,0.4,2,VASTJ.1448.5.png; np_11.png
column,noun,2,0.4,2,InfoVisJ.621.3.png; SciVisJ.1236.10.png
spot,noun,2,0.4,1,InfoVisJ.1558.9(2).png
datapoint,noun,2,0.4,2,InfoVisJ.349.1.png; v483_n7387_5_f1.png
proximity,noun,2,0.4,2,InfoVisJ.349.1.png; VisJ.1197.5.png
preciseness,noun,2,0.4,2,VisC.248.3.png; v485_n7396_14_f4.png
place,noun,2,0.4,2,InfoVisJ.1073.1.png; SciVisJ.995.10(3).png
length,noun,2,0.4,2,SciVisJ.603.12.png; VASTJ.1763.9.png
tree,noun,2,0.4,1,v483_n7390_14_f3.png
relation,noun,2,0.4,2,InfoVisJ.631.1(2).png; VASTJ.2012.4.png
factor,noun,2,0.4,2,InfoVisJ.2082.3.png; v488_n7409_19_f1.png
background,noun,2,0.4,2,vis734.png; visMost573.png
overlap,noun,2,0.4,1,visMost573.png
mix,noun,2,0.4,2,InfoVisC.173.9(1).png; vis216.png
mess,noun,2,0.4,1,InfoVisJ.2709.1.png
color,noun_phrase,84,16.9,64,InfoVisC.115.4.png; InfoVisC.173.9(1).png; InfoVisC.173.9.png
information,noun_phrase,48,9.7,34,InfoVisC.157.1.png; InfoVisC.73.6.png; InfoVisJ.1169.1.png
number,noun_phrase,45,9.1,34,InfoVisC.115.4.png; InfoVisC.133.5(3).png; InfoVisC.219.8.png
a lot,noun_phrase,42,8.5,35,InfoVisC.65.5(2).png; InfoVisC.65.6(2).png; InfoVisJ.1063.13(3).png
word,noun_phrase,36,7.2,29,InfoVisC.24.8(1).png; InfoVisJ.1137.1.png; InfoVisJ.1169.5(2).png
line,noun_phrase,35,7.0,34,InfoVisC.65.3.png; InfoVisC.65.5(2).png; InfoVisC.73.6.png
shape,noun_phrase,33,6.6,30,InfoVisC.133.5(3).png; InfoVisC.219.8.png; InfoVisJ.2402.12.png
more color,noun_phrase,32,6.4,31,InfoVisC.115.3.png; InfoVisJ.1032.5.png; InfoVisJ.2072.12.png
text,noun_phrase,31,6.2,27,InfoVisC.211.8.png; InfoVisC.73.6.png; InfoVisJ.1149.17.png
lot,noun_phrase,24,4.8,21,InfoVisC.57.4.png; InfoVisC.65.5(2).png; InfoVisJ.2072.16.png
the image,noun_phrase,20,4.0,16,InfoVisC.27.6.png; InfoVisJ.1257.5.png; InfoVisJ.2072.7.png
different color,noun_phrase,17,3.4,15,InfoVisJ.1009.9.png; InfoVisJ.2402.12(1).png; InfoVisJ.2402.12.png
more information,noun_phrase,16,3.2,16,InfoVisJ.1257.5.png; InfoVisJ.339.10.png; InfoVisJ.946.6.png
dot,noun_phrase,16,3.2,13,InfoVisC.65.8.png; InfoVisJ.1558.11(6).png; InfoVisJ.2486.8.png
label,noun_phrase,15,3.0,13,InfoVisJ.2082.3.png; InfoVisJ.2556.9.png; InfoVisJ.349.1.png
detail,noun_phrase,15,3.0,14,InfoVisC.133.5(3).png; InfoVisC.219.8.png; InfoVisJ.1149.8(2).png
datum,noun_phrase,12,2.4,12,InfoVisC.8.7.png; SciVisJ.1236.10.png; SciVisJ.625.5.png
circle,noun_phrase,12,2.4,7,InfoVisJ.629.8.png; SciVisJ.867.6.png; VASTC.107.7.png
